Nro.	Modular	Estante	Cod	Modulo_Estanteria	Fila	Materia	Titulo	Autor	Idioma	Tipo	Pais de Origen	Editorial	Fecha_edicion	Edicion	Nro_ejemplares	Estado Fisico	Observaciones
1	1M-1E	Fila 1	M 01	D	D2	Mineralogía	Tratado de Mineralogía 	KLOCKMANN, F., RAMDOHR, P.	Español	Libro	Barcelona-España	Gustavo Gili S.A	1947	Doceava	1	Bueno	
2	1M-1E	Fila 1	M 02	D	D2	Mineralogía	Mineralogy of Rare Elements Vol. II	VLASOV, K. A.	Ingles	Libro	Jerusalem-Israel	S. Monson	1964	Primera	1	Bueno	
3	1M-1E	Fila 1	M 03	D	D2	Mineralogía	A Textbook of Mineralogy Crystallography and Physical mineralogy	FORD, W.E.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1966	Cuarta	2	Bueno	a y b
4	1M-1E	Fila 1	M 04	D	D2	Mineralogía	Modern Mineralogy 	FRYE, K.	Ingles	Libro	New Jersey-EEUU	Prentice Hall, INC	1974	Primera	2	Bueno	
5	1M-1E	Fila 1	M 05	D	D2	Mineralogía	Mineralogy	BERRY, L. G., MASON, B.	Ingles	Libro	San Francisco-EEUU	W.H. Freeman and Company	1959	Primera	1	Bueno	
6	1M-1E	Fila 1	M 06	D	D2	Mineralogía	Dana's system of Mineralogy Vol. I 1/3	PALACHE, Ch., BERMAN, H., FRONDEL., C.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1949	Séptima	1	Bueno	
7	1M-1E	Fila 1	M 07	D	D3	Mineralogía	Dana's system of Mineralogy Vol. 2 2/3	PALACHE, Ch., BERMAN, H., FRONDEL, C.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1951	Séptima	1	Bueno	
8	1M-1E	Fila 1	M 08	D	D3	Mineralogía	Dana's system of Mineralogy Vol. 3 3/3	FRONDEL, C.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1962	Séptima	1	Bueno	
9	1M-1E	Fila 1	M 09	D	D3	Mineralogía	Tratado de Mineralogía	DANA, E. S., FORD, W.E.	Español	Libro	MÉXICO D.F	Compañía Editorial Continental S.A	1971	Cuarta	1	Bueno	
10	1M-1E	Fila 1	M 10	D	D3	Mineralogía	Mineralogy An introduction to the study of minerals and crystals	KRAUS, H., HUNT, W., RAMSDELL, L.	Ingles	Libro	Michigan-EEUU	McGraw-Hill	1959	Quinta	1	Bueno	
11	1M-1E	Fila 1	M 11	D	D3	Mineralogía	Introduction to the Study of Minerals	ROGERS, A.	Ingles	Libro	Nueva York-EEUU	McGraw-Hill	1937	Tercera	1	Bueno	
12	1M-1E	Fila 1	M 12	D	D3	Mineralogía	The World's Minerals	SPENCER, L. J.	Ingles	Libro	Nueva York-EEUU	Frederick A. Stokes	1916	Primera	1	Bueno	
13	1M-1E	Fila 1	M 13	D	D3	Mineralogía	Minerals and How to  Study Them	DANA, E.S.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1949	Tercera	1	Malo	
14	1M-1E	Fila 1	M 14	D	D3	Mineralogía	Rutley's Elements of Mineralogy	READ, H. H.	Ingles	Libro	Gran Bretaña	Thomas Murby & CO.	1976	Veintiseis	1	Bueno	
15	1M-1E	Fila 1	M 15	D	D3	Mineralogía	Mineralogía y Geología	ROUQUETTE, A.	Español	Libro	Buenos Aires-Argentina	Cabaut y Cía.	1931	Segunda	1	Malo	
16	1M-1E	Fila 1	M 16	D	D3	Mineralogía	Atlas de Bolsillo  Mineralogía (1)	PARDILLO, F.	Español	Atlas	Barcelona-España	Orbis	1957	Primera	1	Malo	
17	1M-1E	Fila 1	M 17	D	D3	Mineralogía	Atlas de Bolsillo Mineralogía  (2)	PARDILLO, F.	Español	Atlas	Barcelona-España	Orbis	1955	Primera	1	Malo	
18	1M-1E	Fila 1	M 18	D	D3	Mineralogía	Mineralogía General	BRAUNS, R.	Español	Libro	México D.F	Unión Tipográfica Editorial Hispanoamericano	1961	Primera	1	Malo	
19	1M-1E	Fila 1	M 19	D	D3	Mineralogía	Mineralogical Association of Canadá	MUECKE, G. K.	Ingles	Libro	Canada	S/E	1980	Primera	3	Bueno	a,b,b
20	1M-1E	Fila 2	M 20	D	D3	Mineralogía	Clay Mineralogy 	GRIM, R. E.	Ingles	Libro	Nueva York-EEUU	McGraw-Hill	1968	Segunda	3	Bueno	
21	1M-1E	Fila 2	M 21	D	D3	Mineralogía	Applied Clay Mineralogy	GRIM, R. E.	Ingles	Libro	Nueva York-EEUU	McGraw-Hill	1962	Primera	1	Bueno	
22	1M-1E	Fila 2	M 22	D	D3	Mineralogía	Mineralogy and Geology of Radioactive Raw Materials	HEINRICH, E. Wm.	Ingles	Libro	Nueva York-EEUU	McGraw-Hill	1958	Primera	1	Bueno	
23	1M-1E	Fila 2	M 23	D	D3	Mineralogía	Lunar Mineralogy	FRONDEL, J. W.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1975	Primera	1	Bueno	
24	1M-1E	Fila 2	M 24	D	D3	Mineralogía	Gems and Gem Materials	KRAUS, E., SLAWSON, Ch.	Ingles	Libro	Nueva York-EEUU	McGraw-Hill	1947	Quinta	1	Bueno	
25	1M-1E	Fila 2	M 25	D	D3	Mineralogía	Rock – Forming Minerals Vol. 1	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1962	Primera	1	Bueno	
26	1M-1E	Fila 2	M 26	D	D3	Mineralogía	Rock – Forming Minerals Vol. 2	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1963	Primera	1	Bueno	
27	1M-1E	Fila 2	M 27	D	D3	Mineralogía	Rock – Forming Minerals Vol. 3	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1962	Primera	1	Bueno	
28	1M-1E	Fila 2	M 28	D	D3	Mineralogía	Rock – Forming Minerals Vol. 4	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1963	Primera	1	Bueno	
29	1M-1E	Fila 2	M 29	D	D3	Mineralogía	Rock – Forming Minerals Vol. 5	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1962	Primera	1	Bueno	
30	1M-1E	Fila 2	M 30	D	D3	Mineralogía	Rock-forming minerals, Volume 1A Orthosilicates	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	Longman Group Limited	1978	Segunda	1	Bueno	
31	1M-1E	Fila 2	M 31	D	D3	Mineralogía	Rock-forming minerals, Volume 2A Single-Chain Silicates	DEER, W., HOWIE, R., ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	Longman Group Limited	1982	Segunda	1	Bueno	
32	1M-1E	Fila 2	M 32	D	D3	Mineralogía	Atlas of rock-forming minerals in thin section	MACKENZIE, W.S.,  GUILFORD, C.	Ingles	Atlas	EEUU	Longman Group Limited	1993	Primera	1	Bueno	
33	1M-1E	Fila 2	M 33	D	D3	Mineralogía	Photographical atlas of detrital minerals	DEVISMES, P.	Ingles/Frances	Atlas	Francia	B.R.G.M	1978	Primera	1	Bueno	
34	1M-1E	Fila 2	M 34	D	D3	Mineralogía	Minas y Minerales de Iberoamérica	CALVO P.B., GONZALEZ, J	Español	Libro	España	(Ministerio de Industria, Comercio y Turismo)	1992	Primera	1	Bueno	
35	1M-1E	Fila 2	M 35	D	D3	Mineralogía	Mineralogy for metallurgists an illustrated guide	FANDER, H. W.	Ingles	Libro	Inglaterra	The Institution of Mining and Metallurgy	1985	Primera	1	Bueno	
36	1M-1E	Fila 2	M 36	D	D3	Mineralogía	Les Mineralisation Actuelles et Anciennes: L'Example de la Mer Rouge	POUIT, G., BIGOT, M., DELFOUR,J., MILESI, J.P.	Ingles	Libro	Francia	B.R.G.M	1981	Primera	1	Malo	
37	1M-1E	Fila 2	M 37	D	D3	Mineralogía	Earth Materials	GASS, I., BUTCHER, N., CLARK, P., FRANCIS, P., JACKSON, D., McCURRY, P.	Ingles	Libro	Londres-Reino Unido	The Open University 	1973	Primera	1	Malo	
38	1M-1E	Fila 2	M 38	D	D3	Mineralogía	Mineraux Dex Gites	BOLFA, J.	Ingles	Libro	Francia	NANCY	s/f	Primera	1	Malo	
39	1M-1E	Fila 2	M 39	D	D3	Mineralogía	Cours de Mineralogie Structurale des silicates	KERN,R., BOLFA, J	Frances	Libro	Francia	NANCY	1962	Segunda	1	Malo	
40	1M-1E	Fila 2	M 40	D	D3	Mineralogía	Applied Mineralogy. A quantitative approach	JONES, M. P.	Ingles	Libro	Londres-Reino Unido	Graham & Trotman Ltd	1987	Primera	1	Bueno	
41	1M-1E	Fila 2	M 41	D	D3	Mineralogía	Mineral Use Guide or Roberston's Spiders' Webs	ROBERTSON, R.H.S.	Ingles	Guia	Londres-Reino Unido	Cleaver Hume Press LTD	1960	Primera	1	Bueno	
42	1M-1E	Fila 2	M 42	D	D3	Mineralogía	Inventaire mineralogique de la France N° 7	PIERROT, R., PULOU, R., PICOT, P.	Frances	Libro	Francia	B.R.G.M	1977	Primera	1	Bueno	
43	1M-1E	Fila 2	M 43	D	D3	Mineralogía	Les Minéraux en Grains méthodes d'étude et détermination	PARFENOFF A.,  POMEROL, C., TOURENQ, J.	Frances	Libro	París-Francia	Masson ET	1970	Primera	2	Malo	
44	1M-1E	Fila 2	M 44	D	D3	Mineralogía	Determination des Mineraux des Roches au Microscope Polarisant	ROUBAULT, M., FABRIES, J., TOURET, J., WEISBROD, A.	Frances	Libro	París-Francia	Lamarre Poinat	1963	Primera	2	Malo	
45	1M-1E	Fila 3	M 45	D	D3	Mineralogía	Mineral Recognition	VANDERS, I., KERR, P.F.	Ingles	Libro	Nueva York-EEUU	John Wiley and Sons, INC	1967	Primera	1	Bueno	
46	1M-1E	Fila 3	M 46	D	D4	Mineralogía	The Techniques of Sedimentary Mineralogy: Developments in Sedimentology	TICKELL, F.G.	Ingles	Libro	Netherlands-Amsterdam	Elsevier Publishing Company	1965	Primera	1	Bueno	
47	1M-1E	Fila 3	M 47	D	D4	Mineralogía	Identification of Mineral Grains 	JONES, M., FLEMING, M.	Ingles	Libro	Netherlands-Amsterdam	Elsevier Publishing Company	1965	Primera	1	Bueno	
48	1M-1E	Fila 3	M 48	D	D4	Mineralogía	Identificación Microscópica de los Minerales	HEINRICH, E. Wm. 	Español	Libro	Bilbao-España	URMO	1970	Primera	1	Bueno	
49	1M-1E	Fila 3	M 49	D	D4	Mineralogía	The physics and Chemistry of Minerals and Rocks	STRENS, R. G.J.	Ingles	Libro	Gran Bretaña	John Wiley and Sons, INC	1976	Primera	1	Bueno	
50	1M-1E	Fila 3	M 50	D	D4	Mineralogía	Physical Methods in Determinative Mineralogy	ZUSSMAN, J.	Ingles	Libro	Nueva York-EEUU	Academic Press	1967	Primera	1	Bueno	
51	1M-1E	Fila 3	M 51	D	D4	Mineralogía	Earth Materials	ERNST, W. G. 	Ingles	Libro	California-EEUU	Prentice Hall, INC	1969	Primera	1	Malo	
52	1M-1E	Fila 3	M 52	D	D4	Mineralogía	Handbook of Uranium Minerals: A Practical Guide for Uranium Prospecting	DeMENT, J., DAKE, H.C.	Ingles	Libro	Oregon-EEUU	Mineralogist Publishing Company	1948	Segunda	1	Malo	
53	1M-1E	Fila 3	M 53	D	D4	Mineralogía	The Powder Method in x- ray crystallography	AZAROFF, L., BUERGER, M. 	Ingles	Libro	Nueva York-EEUU	McGraw-Hill	1958	Primera	1	Bueno	
54	1M-1E	Fila 3	M 54	D	D4	Mineralogía	Nature of Earth Materials	TENNISSEN, A.C.	Ingles	Libro	New Jersey-EEUU	Prentice Hall, INC	1974	Primera	1	Bueno	
55	1M-1E	Fila 3	M 55	D	D4	Mineralogía	An Index of Mineral Species and Varieties Arranged Chemically	HEY, M.H.	Ingles	Libro	Gran Bretaña	Jarold ans Sons LTD	1962	Segunda	1	Bueno	
56	1M-1E	Fila 3	M 56	D	D4	Mineralogía	Ultraviolet Guide to Minerals	GLEASON, S.	Ingles	Libro	New Jersey-EEUU	D. VAN NOSTRAND COMPANY, INC.	1960	Primera	1	Bueno	
